tanggal,teks
2022-03-16 06:35:44+00:00,b'RT @PatroliAsuransi: PT GoTo Gojek Tokopedia akhirnya merilis ringkasan prospektus penawaran umum perdana saham atau initial public offerin\xe2\x80\xa6'
,
2022-03-16 06:35:15+00:00,b'RT @PatroliAsuransi: PT GoTo Gojek Tokopedia akhirnya merilis ringkasan prospektus penawaran umum perdana saham atau initial public offerin\xe2\x80\xa6'
,
2022-03-16 06:34:47+00:00,b'RT @PatroliAsuransi: PT GoTo Gojek Tokopedia akhirnya merilis ringkasan prospektus penawaran umum perdana saham atau initial public offerin\xe2\x80\xa6'
,
2022-03-16 06:19:47+00:00,b'@gojekindonesia &amp; @tokopedia jadi #goto #gofar #gotogether goto #cuan \xf0\x9f\x99\x82 @ Tokopedia Seller Indonesia https://t.co/fA2f4Nfi6j'
,
2022-03-16 06:12:53+00:00,b'Spill harga/order\n~klik link Bio No 3\nRibet nyari linknya? \n~silahkan komen di bawah nanti Aku DM linknya\n\nnote : b\xe2\x80\xa6 https://t.co/Qju3T0m4aM'
,
2022-03-16 06:06:07+00:00,b'RT @PatroliAsuransi: PT GoTo Gojek Tokopedia akhirnya merilis ringkasan prospektus penawaran umum perdana saham atau initial public offerin\xe2\x80\xa6'
,
2022-03-16 06:05:53+00:00,b'RT @PatroliAsuransi: PT GoTo Gojek Tokopedia akhirnya merilis ringkasan prospektus penawaran umum perdana saham atau initial public offerin\xe2\x80\xa6'
,
2022-03-16 06:05:35+00:00,b'RT @PatroliAsuransi: PT GoTo Gojek Tokopedia akhirnya merilis ringkasan prospektus penawaran umum perdana saham atau initial public offerin\xe2\x80\xa6'
,
2022-03-16 05:53:11+00:00,b'PT GoTo Gojek Tokopedia akhirnya merilis ringkasan prospektus penawaran umum perdana saham atau initial public offe\xe2\x80\xa6 https://t.co/yJW1YrUav6'
,
2022-03-16 05:15:00+00:00,"b'GoTo IPO di BEI, ini Harga dan Jadwalnya, Tertarik Beli? \xf0\x9f\xa4\x94\n#GoTo #IPO #saham #BEI #investasi #teknologi #gojek\xe2\x80\xa6 https://t.co/T1bFO7DEiT'"
,
2022-03-16 05:00:00+00:00,"b'GoTo menawarkan saham perdana (IPO) sebanyak 48 miliar saham Seri A, dengan kemungkinan ditingkatkan hingga 52 mili\xe2\x80\xa6 https://t.co/1B5ME6b61w'"
,
2022-03-16 04:28:03+00:00,"b'Saham GO-JEK Tokopedia ( GoTo) sangat legit untuk dicicip guyss, yuk ikuti IPO #Gojek #Tokopedia #IPO #GoTo'"
,
2022-03-16 03:13:30+00:00,b'RT @zfird: Mayan lah limit 40 jt\n\n#gojek #tokopedia #saham #ipot #ipotgo #goto #IPO https://t.co/pORrJYpzjN'
,
2022-03-16 02:39:21+00:00,b'GOTO TUNJUK INDO PREMIER JADI UNDERWRITER\n#GOTO #EKONOMI'
,
2022-03-16 02:25:18+00:00,b'Haiii Sobat Investor \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc\n\nPasti pada lagi sibuk order IPO GOTO yakaaaan?\n\nNih mimin bantuin dengan  info- info penti\xe2\x80\xa6 https://t.co/Ev9krIU16a'
,
2022-03-16 02:07:00+00:00,b'PO GoTo merupakan angin segar untuk tumbuhnya ritel investor baru dari berbagai kalangan termasuk mitra pengemudi h\xe2\x80\xa6 https://t.co/6yKJn3uBeU'
,
2022-03-16 02:04:04+00:00,b'Saat ini merupakan momentum tepat bagi GoTo melantai di bursa sejalan pemulihan ekonomi yang tengah berlangsung.\n\nS\xe2\x80\xa6 https://t.co/AdUngark3K'
,
2022-03-16 01:38:57+00:00,b'Beli GoTo gak ya?\nHmmm...\n#GoTo'
,
2022-03-15 23:54:58+00:00,"b'\xe2\x80\x9cOriflakes (Solusi Maag, Asam Lambung, Diabetes) Rasa Coklat 900gr"" Rp150.000 di toko ms\'corner. Bisa Bebas Ongkir,\xe2\x80\xa6 https://t.co/UqOU8Z3b4x'"
,
2022-03-15 22:27:50+00:00,"b'Melihat fundamental #GOTO yang buruk, sahamnya nggak cocok dipegang untuk long-term. Namun berkaca dari IPO #BUKA y\xe2\x80\xa6 https://t.co/RpDoqv2iMz'"
,
2022-03-15 18:31:50+00:00,b'RT @lewisuprato02: Akhirnya IPO juga\xf0\x9f\x8e\x89\n\nBukan ajakan membeli!!!\n#DYOR #IPO #GoTo https://t.co/7JcEcvyYOk'
,
2022-03-15 18:08:55+00:00,b'RT @zfird: Mayan lah limit 40 jt\n\n#gojek #tokopedia #saham #ipot #ipotgo #goto #IPO https://t.co/pORrJYpzjN'
,
2022-03-15 18:03:35+00:00,b'RT @zfird: Mayan lah limit 40 jt\n\n#gojek #tokopedia #saham #ipot #ipotgo #goto #IPO https://t.co/pORrJYpzjN'
,
2022-03-15 17:42:53+00:00,b'Akhirnya IPO juga\xf0\x9f\x8e\x89\n\nBukan ajakan membeli!!!\n#DYOR #IPO #GoTo https://t.co/7JcEcvyYOk'
,
2022-03-15 17:13:37+00:00,"b'RT @menolaklupita: Hah dapet fixed allotment IPO saham #GOTO.\n\nSungguh sangat kreatif. Diharusin buka pake RDN #ARTO, dengan akun broker di\xe2\x80\xa6'"
,
2022-03-15 16:59:06+00:00,"b'RT @hgrmty: Orang2 nunggu #GoTo #IPO, gw cuman nunggu GoPay Coins bisa dipake di GoFood'"
,
2022-03-15 16:19:32+00:00,b'Ini serius kan? #GoTo https://t.co/YiiJNLCPrf'
,
